3054: adivinanzas | ¿que es un pollito de verde? un pollicia 
4534: matrimonios | habia una pareja de mediana edad que tenian dos hermosas hijas adolescentes. la pareja decide intentar una ultima vez por el hijo varon que siempre quisieron. despues de intentarlo por meses la esposa finalmente quedo embarazada y dio a luz un saludable  varoncito 9 meses mas tarde  el jubiloso  padre corrio a la clinica a conocer a su nuevo hijo. al mirarlo se horrorizo ya que el niño era el bebe mas feo que habia visto en su vida. fue a ver a su esposa y le dijo que no habia manera de que el fuera el padre de ese niño mira las 2 hermosas hijas que hice anteriormente, luego la miro  desconfiado y le pregunto ¿me has engañado?  la esposa sonrio dulcemente y le dijo: esta vez no mi amor .  
4237: mama_papa | ¡esta casa es una ruina!mama, mama. dime hijo. la escalera no tiene barandillaaaaaaaaaaa.  
6737: atlantes | estaba un atlante haciendo fila para comprar un pasaje de avion. como era la primera vez que lo hacia, y no estaba seguro que decir, se acerco a la chica que estaba delante de el, para escuchar lo que pedia.la chica dijo: deme un pasaje para florida, solo ida. entonces, al llegar el turno del atlante, este pidio: deme un pasaje para nueva york, solo york 
693: chistes_cortos | si tu padre es un hombre pobre, ese es tu destino pero, si tu suegro es un hombre pobre, eso es tu estupidez.</div><div class=opciones> <span class=chisteid>#342902</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=342902' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
1927: dracula | ¿cual es el caballo de dracula?un pura sangre 
5664: otros | el papa estaba sacando su automovil del garaje y de retroceso, como no podia mirar bien para atras le encargo a su hijo menor que le avisara si el carro topaba con algo. sabido el muchacho le dio instrucciones al papa para comenzar a salir del garaje, el papa dio marcha atras, y a los pocos pasos se escucho un tremendo ruido, era el carro que habia chocado con otro carro que iba por la calle, al oirse el ruido, el muchacho exclamo:¡ya topo papa!  
7236: atlantes | una tarde david y pepe van a visitar la base aerea y ven un helicoptero, lo ven, lo ven, y lo ven, entonces david le dice a pepe:pepe, ¿ves ese helicoptero? si, lleva ahi en el aire mas de media hora. y pepe contesta despues de pensarlo un poco. debe ser que se le acabo la gasolina 
2450: graffiti | yo creo en la reencarnacion.una uña 
2523: habia_una_vez | habia una vaca flaca, pero tan flaca, que no daba leche, por el contrario daba lastima.</div><div class=opciones> <span class=chisteid>#1209</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=1209' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
5355: novios | pedro le dice a maria:maria, tu me engañas con el filosofo del pueblo. y maria le contesta: son falacias pedro, son falacias 
4180: mama_papa | mami, mami, ¿todos los niños tenemos dos papas y dos mamas?no hijito, solo usted que es vizco 
7687: telefonos | en  la esquina habia un telefono malo, de repente paso un niño con un globo y se lo revento.  
5951: animales | un hombre va a ver una pelea de gallos y como no conocia a los gallos le pregunta al señor que esta al lado:¿cual es el gallo bueno para la proxima pelea? ¿el gallo blanco o el colorado? ¡aahh, pues el gallo bueno es el blanco, responde el señor. el otro señor apuesta todo su dinero al gallo blanco y de un solo picotazo el gallo colorado mata al blanco. el hombre todo enojado le dice al otro: óigame, usted me dijo que el gallo blanco era el bueno y el colorado lo mato de un solo picotazo. el otro responde: pues, el blanco era el bueno porque el colorado ese si es un asesino 
4615: matrimonios | juan moribundo dice:¡ay maria, me estoy muriendo! lo se juan, ¿que puedo yo hacer? quiero que cumplas con mi ultima voluntad. lo que tu digas juan. quiero que cuando yo muera, te cases con pedro. ¡pero juan si pedro es tu peor enemigo! precisamente por eso 
4889: mujeres | ¿por que las mujeres se tardan tanto en arreglarse y siempre llegan tarde?porque lo mejor siempre llega al ultimo 
3764: locos | estaban dos locos planeando escaparse del manicomio y uno le dice al otro:ve a ver el tamaño de la pared, si es baja la saltamos y si es alta tendremos que buscar otra forma de salir. va el loco a ver la pared, vuelve. y el otro loco le dice: ¿que paso?  no vamos a poder escapar. ¿por que? porque no hay pared.  
990: colmos | ¿cual es el colmo de un jardinero?que su novia se llame rosa y lo deje plantado 
4595: matrimonios | dos amigos conversando sobre sus esposas, uno dice:en mi casa siempre yo grito mas fuerte que mi mujer. cuando ella me grita: ¡ven a cocinar!, yo le grito: ¡estoy planchando! ¡y despues voy a lavar la ropa 
2328: feministas | ¿en que se parece un hombre a un autobus?nunca llega el que vos necesitas 
6116: animales | un gusanito que lloraba desconsoladamente, va donde su mama quien le pregunta:¿por que lloras? el gusanito le dice: es que me duele la barriguita. la mama le contesta: tranquilo nene, eso debe ser lombrices.   
4700: matrimonios | llega un esposo y encuentra a su mujer llorando y le pregunta:¿por que lloras? y la esposa lloriqueando le responde: es que te habia preparado una comida muy buena y vino el perro y se la comio. ¡no te preocupes mi amor, mañana te compro otro perro 
1747: doctores | va un señor al doctor porque se sentia mal del estomago, despues de un rato de ser auscultado, el paciente le pregunta:por favor doctor, ¿digame cuanto tiempo me queda de vida? el doctor le responde: 10. ¿10 años? 9, 8, 7, 6, 5... 
3042: adivinanzas | ¿que le dijo un boton a otro?                                 cuidate que tenemos la vida en un hilo 
8064: viejitos | en una reunion familiar los nietos piden a su abuelo que les relate la historia de cuando salvo a su general en su condicion de soldado. éste comienza la historia de la siguiente manera:yo estaba de guardia esa noche, cuando me percate que se acercaba un rinoceronte a la tienda de campaña de mi general, le dispare, le corte una pierna y me la puse en el hombro, luego se repitio la historia, pero esta vez con un jabali y tambien me la puse en el hombro. luego el abuelo con un silencio profundo se queda dormido, los nietos desesperados por el final de la historia despiertan al abuelo de la siguiente manera: abuelito, termina de contarnos la historia. a lo que este pregunta: ¿que historia mijitos? esa de cuando le tenias las piernas en tus hombros... ahhh, exclama el abuelo, despues se lo mande a guardar todito a tu abuela.  
6257: animales | va un conejo a un panadero y le pregunta:¿tienes 100 barras de pan? el panadero dice: no, no las tengo. el conejo se va. al dia siguiente vuelve el conejo y pregunta lo mismo. el panadero ya un poco cabreado le dice: ya te lo dije ayer, que no tengo 100 barras de pan. desilusionado el conejillo se va. por la noche de ese dia, el panadero le comenta a su mujer: pepa, mira, el conejo siempre me pregunta si tengo 100 barras de pan y como le digo que no las tengo, siempre se va muy desilusionado, he pensado en hacer las 100 barras para manaña, a ver si se alegra. al dia siguiente el panadero ya habia hecho las barras de pan, cuando viene el conejo preguntando otra vez. esta vez el panadero le dice: si, mira, has tenido mucha suerte, las he hecho todas para ti. el conejo con cara de confusion le pregunta al panadero: ¿podria tener una de ellas 
283: borrachos | un borracho se le cae una botella en una tumba, por lo que se pone a llorar.   una señora que lo ve le pregunta:  ¿llora por un familiar ? , y el borracho le responde: no era de litro cien.</div><div class=opciones> <span class=chisteid>#1952</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=1952' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
3749: ladrones | unos ladrones  estaban  hablando para planear a que banco asaltar y uno dice, mejor ya no robamos bancos mejor nos ponemos uno.</div><div class=opciones> <span class=chisteid>#13908</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=13908' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
7611: tacaños | -amigo, ¿puedes guardarme un secreto?--si- -necesito 5.000 dolares- -como si no me hubieses dicho nada-   
3682: jaimito | tocan a la puerta y abre un nene y le preguntan:jaimito, ¿esta tu papa? ¿que? ¿que si esta tu papa? no, no esta. y cierra la puerta. la persona molesta vuelve a tocar y vuelve a preguntar: jaimito, ¿esta tu mama? ¿que? ¿que si esta tu mama? ah, no, no esta. ¿salieron? ¿a donde? 
2627: adivinanzas | ¿que le dice un semaforo a otro semaforo?no me mires que me estoy cambiando 
3038: adivinanzas | ¿por que en uruguay no llueve?porque esta abajo de paraguay 
2508: habia_una_vez | habia una señora tan, pero tan fea, que fue a comprar una mascara y le dieron el puro elastico.</div><div class=opciones> <span class=chisteid>#99599</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=99599' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
7609: tacaños | esta era una vez un hombre tan tacaño, pero tan tacaño, que no tomaba coca cola por no botar los gases.</div><div class=opciones> <span class=chisteid>#120818</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=120818' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
7130: atlantes | ¿por que los atlantes tienen las casas redondas?para que no hayan arañas de rincon 
4676: matrimonios | una mujer le dice al marido:voy a coger la puerta y me voy a ir con mi madre. a lo que el marido contesta: tu, te puedes ir donde quieras, pero la puerta la dejas donde esta 
80: borrachos | una vez un borracho iba manejando, y estaba en una curva que tenia una flecha, y el siguio de largo y se estrello. al rato llega la policia y le dice:¿usted no vio la flecha? y el borracho le responde: ¡y al indio que me la tiro tampoco!  
6404: pepito | una vez pepito llego a la escuela y el maestro le dice:saca tu libro y tu cuaderno. pero pepito le contesto: no tengo porque mi mama es muy pobre y no puede comprar ni cuadernos ni libros para ninguna materia. el profesor molesto le dijo: ¿que pensarias tu de un soldado que va a la guerra y no lleva nada con que defenderse: y pepito contesto: ¡que es hijo de mi mama!  
347: borrachos | un borracho iba por la calle y ve pasar a un policia, entonces el borracho lo empuja y le dice al mismo tiempo. ! cuidado tombo es que no cabes!, y el policia le dice !como , como!... el borracho le contesta: !no, no que cuidado lo tumbo ! 
7663: telefonos | ¡hola! ¿es este el 456 25 16 49 47?no, aqui no tenemos telefono. entonces, ¿por que contesta? de educado que es uno.  
3123: adivinanzas | ¿en que se parecen una sala de primeros auxilios y una familia?¿en que? en que la sala de primeros auxilios cura.  ¿y la familia? bien, gracias 
2712: adivinanzas | adivine quien dijo las siguientes frases celebres: no puedo estudiar derecho.                  el jorobado de notredame.  mi abuela es una vieja verde. frankenstein.  tengo el corazon de piedra. una estatua.  mi mujer tiene el mejor fisico del mundo. einstein.  mi esposa es una perra. pluto.  mi esposo es un pato. daisy 
7748: una_linea | ¿como pia un pollito rapido?piiuuuuuumm 
6807: atlantes | llama un atlante a la operadora de beepers y pide enviar un mensaje:quiero enviar un mensaje al señor pablo hernandez.  si señor, que le decimos a don pablo... digale que dejo el beeper en mi casa 
4761: matrimonios | cariño, cuando cumplamos nuestras bodas de plata te voy a llevar a cancun.¿y cuando cumplamos las de oro? quien sabe, lo mismo, te voy a buscar 
4829: militares | en la guerra:-soldado, ¿localizo al enemigo? -si, estan delante, detras, a la izquierda y a la derecha, ¡esta vez si que no se escapan, mi capitan!  
6948: atlantes | ¿por que los atlantes se llevan una licuadora a las olimpiadas?para batir el record.   
2708: adivinanzas | ¿como se dice un tren mato a un perro en frances?le chuchu le mato le guauguau 
